approach, model_name, tuning_mean, tuning_std
TGC,InceptionV3,0.3996666752929646,0.003486560819812992
TVM,InceptionV3,1.0,0.0
TGC,MobileNetV2,0.4530143264080776,0.039416363300781423
TVM,MobileNetV2,1.0,0.0
TGC,GoogleNet,0.3329815114305612,0.0049462251477541365
TVM,GoogleNet,1.0,0.0
TGC,ResNet18,0.4248898067216724,0.0724969619777346
TVM,ResNet18,1.0,0.0
TGC,ResNeXt50,0.36177160220651694,0.050746165745508505
TVM,ResNeXt50,1.0,0.0
TGC,ResNet152,0.3406595837475479,0.01563103769520807
TVM,ResNet152,1.0,0.0
TGC,DenseNet121,0.3705537000734678,0.014936995144239573
TVM,DenseNet121,1.0,0.0
TGC,MobileNetV3,0.3936959816005957,0.02361185100021006
TVM,MobileNetV3,1.0,0.0
TGC,ResNet50,0.3427797936632229,0.007447543767561735
TVM,ResNet50,1.0,0.0
TGC,WideResNet50,0.323914761108994,0.014656215059919885
TVM,WideResNet50,1.0,0.0
TGC,VGG16,0.3402560320810417,0.011886138538080838
TVM,VGG16,1.0,0.0
TGC,AlexNet,0.3461565057465343,0.010687281531343167
TVM,AlexNet,1.0,0.0
