approach, model_name, tuning_mean, tuning_std
TGC-ES,InceptionV3,0.3996666752929646,0.003486560819812992
TVM-ES,InceptionV3,0.3948871810044457,0.008348115648316626
TGC,InceptionV3,1.1387354818385458,0.04100678313551507
TVM,InceptionV3,1.0,0.0
TGC-ES,MobileNetV2,0.4530143264080776,0.039416363300781423
TVM-ES,MobileNetV2,0.46895883322160525,0.04006025099915807
TGC,MobileNetV2,1.1872897585009947,0.08296618072549226
TVM,MobileNetV2,1.0,0.0
TGC-ES,GoogleNet,0.3329815114305612,0.0049462251477541365
TVM-ES,GoogleNet,0.37679256647133574,0.012307371085179333
TGC,GoogleNet,0.904202018345012,0.026157995932827173
TVM,GoogleNet,1.0,0.0
TGC-ES,ResNet18,0.4248898067216724,0.0724969619777346
TVM-ES,ResNet18,0.4168790993226413,0.041497317668731305
TGC,ResNet18,0.9111217700015818,0.04605360804590698
TVM,ResNet18,1.0,0.0
TGC-ES,ResNeXt50,0.36177160220651694,0.050746165745508505
TVM-ES,ResNeXt50,0.4031767488712702,0.06886531217969644
TGC,ResNeXt50,0.9841503195206233,0.14073461417068214
TVM,ResNeXt50,1.0,0.0
TGC-ES,ResNet152,0.3406595837475479,0.01563103769520807
TVM-ES,ResNet152,0.3829511269979604,0.016857876971792606
TGC,ResNet152,0.9068908788600547,0.06584218493014368
TVM,ResNet152,1.0,0.0
TGC-ES,DenseNet121,0.3705537000734678,0.014936995144239573
TVM-ES,DenseNet121,0.39126186804806845,0.016352782484567542
TGC,DenseNet121,1.0418285475857882,0.040483492689496026
TVM,DenseNet121,1.0,0.0
TGC-ES,MobileNetV3,0.3936959816005957,0.02361185100021006
TVM-ES,MobileNetV3,0.4074530768008556,0.02938855011751396
TGC,MobileNetV3,1.0524088318509617,0.11258987594119804
TVM,MobileNetV3,1.0,0.0
TGC-ES,ResNet50,0.3427797936632229,0.007447543767561735
TVM-ES,ResNet50,0.37870704636336017,0.015419111255919264
TGC,ResNet50,0.9059267169081583,0.03258735519754957
TVM,ResNet50,1.0,0.0
TGC-ES,WideResNet50,0.323914761108994,0.014656215059919885
TVM-ES,WideResNet50,0.37250448503091427,0.021060151304341333
TGC,WideResNet50,0.8946223603188482,0.060906850369358945
TVM,WideResNet50,1.0,0.0
TGC-ES,VGG16,0.3402560320810417,0.011886138538080838
TVM-ES,VGG16,0.38192684564170487,0.01639861100541736
TGC,VGG16,0.8804599480723313,0.01844306056795247
TVM,VGG16,1.0,0.0
TGC-ES,AlexNet,0.3461565057465343,0.010687281531343167
TVM-ES,AlexNet,0.38619221969417616,0.023068602165947482
TGC,AlexNet,0.9318181462026057,0.03400775068522636
TVM,AlexNet,1.0,0.0
